Iterations,Time
1,140231833
2,57406541
3,67680625
4,73617667
5,76252833
6,85838375
7,103427917
8,109081792
9,120344167
10,126592875
11,127727750
12,150308792
13,146012083
14,152566167
15,164482334
16,174472416
17,182868000
18,199393834
19,358204750
20,214004083
21,224077667
22,231363667
23,258893667
24,251957166
25,261288166
26,271099791
27,284138583
28,295982791
29,302829208
30,316374667
31,321653291
32,333225458
33,345496375
34,352662959
35,362536500
36,374389917
37,384249209
38,398509625
39,406878625
40,415958042
41,430073084
42,439497750
43,446595292
44,541247333
45,749864875
46,729301542
47,845054000
48,1238879083
49,532128667
50,600329541
51,577911000
52,554782708
53,772826000
54,582322500
55,608785833
56,602502958
57,605813084
58,609086041
59,620029209
60,624552208
61,635000666
62,650782458
63,668223500
64,680954458
65,675509041
66,690143625
67,694134334
68,713478833
69,717733375
70,733122958
71,877623958
72,756063917
73,769577125
74,786602625
75,784186125
76,807731042
77,810881875
78,808805583
79,830547917
80,834095917
81,897878833
82,996348708
83,879100209
84,880812208
85,908596875
86,910853583
87,901726292
88,911876083
89,933776959
90,936111833
91,1017182291
92,1309325458
93,976970458
94,985391041
95,1147367583
96,1001856667
97,1113201916
98,1026407208
99,1045833083
100,1043157625
